epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6351,2.35336,3.80119,2.44861,0.00078,0.09607,0.001,0.00033,2.68441,4.48096,2.49766,0.000197436,0.000197436,0.0804538
2,29.4742,2.17319,2.64525,2.25943,0.0178,0.10044,0.00654,0.00172,2.52882,9.2138,2.48386,0.000393501,0.000393501,0.0606499
3,41.9531,2.02176,2.46344,2.1806,0.15272,0.18262,0.07958,0.02582,2.34222,3.51007,2.19872,0.000585607,0.000585607,0.040842
4,54.163,1.97831,2.32032,2.18243,0.03158,0.09607,0.01663,0.00641,2.27266,7.83419,2.21005,0.000773752,0.000773752,0.0210302
5,66.4133,1.95244,2.3769,2.12568,0.1736,0.26201,0.11491,0.03262,2.15776,12.1896,2.10628,0.000957937,0.000957937,0.00121435
6,78.3692,1.94198,2.16,2.12201,0.38275,0.38428,0.32709,0.11872,1.99287,2.07053,1.99356,0.0009505,0.0009505,0.0009505
7,90.3498,1.87265,2.16041,2.04901,0.36199,0.31004,0.2286,0.08203,2.16172,2.79392,2.16523,0.0009406,0.0009406,0.0009406
8,102.596,1.84641,2.1041,2.04886,0.4569,0.38865,0.33228,0.12478,2.05702,2.78151,2.11271,0.0009307,0.0009307,0.0009307
9,114.911,1.84843,2.1055,2.01285,0.40765,0.31441,0.28507,0.10727,2.08793,2.36762,2.0955,0.0009208,0.0009208,0.0009208
10,126.644,1.75175,1.93417,1.9457,0.49861,0.37991,0.38497,0.13595,2.05508,2.15892,2.09072,0.0009109,0.0009109,0.0009109
11,138.768,1.7659,1.88139,1.95536,0.47374,0.42358,0.3351,0.12555,1.91665,2.09742,2.03062,0.000901,0.000901,0.000901
12,151.115,1.77059,1.8854,1.96056,0.36333,0.34498,0.27948,0.09356,2.08224,2.25492,2.04095,0.0008911,0.0008911,0.0008911
13,163.221,1.74942,1.89438,1.90878,0.41086,0.41921,0.35599,0.13778,1.92992,2.04262,1.99564,0.0008812,0.0008812,0.0008812
14,175.26,1.72611,1.88692,1.95823,0.54375,0.46288,0.43653,0.16831,1.87905,1.88544,1.94082,0.0008713,0.0008713,0.0008713
15,187.686,1.66816,1.76684,1.88298,0.45719,0.44978,0.33411,0.12072,1.92891,2.09502,1.99382,0.0008614,0.0008614,0.0008614
16,199.88,1.70934,1.80341,1.88814,0.45456,0.46725,0.39121,0.14875,1.89585,1.95497,1.96442,0.0008515,0.0008515,0.0008515
17,211.811,1.67959,1.75655,1.88945,0.34425,0.42182,0.27574,0.09229,2.02595,2.13136,2.08227,0.0008416,0.0008416,0.0008416
18,223.663,1.69752,1.81228,1.89411,0.54301,0.51888,0.48169,0.16132,1.92106,1.93343,1.9661,0.0008317,0.0008317,0.0008317
19,235.483,1.69517,1.76323,1.91531,0.52398,0.46145,0.46595,0.17297,1.94232,1.86869,1.97432,0.0008218,0.0008218,0.0008218
20,249.753,1.6649,1.66604,1.87978,0.6982,0.49782,0.51705,0.18068,1.89775,1.76851,1.95204,0.0008119,0.0008119,0.0008119
21,264.652,1.67747,1.71041,1.88667,0.5145,0.44105,0.42903,0.15375,2.02146,1.99296,2.01575,0.000802,0.000802,0.000802
22,277.754,1.64821,1.65805,1.87829,0.47044,0.48035,0.41743,0.14929,1.92039,1.95033,1.92416,0.0007921,0.0007921,0.0007921
23,289.952,1.64518,1.70162,1.87814,0.66491,0.43231,0.48167,0.18359,1.90834,1.88148,1.9881,0.0007822,0.0007822,0.0007822
24,302.242,1.60798,1.63445,1.85412,0.69608,0.43231,0.48305,0.17693,1.9786,1.86376,2.04558,0.0007723,0.0007723,0.0007723
25,314.164,1.59367,1.67187,1.80195,0.5448,0.50655,0.49972,0.19899,1.86287,1.9528,1.88076,0.0007624,0.0007624,0.0007624
26,326.023,1.62727,1.63258,1.83372,0.64344,0.52797,0.56331,0.22842,1.86891,1.70399,1.91779,0.0007525,0.0007525,0.0007525
27,337.869,1.59044,1.59139,1.79514,0.62735,0.57343,0.51204,0.20259,1.84495,1.7385,1.95464,0.0007426,0.0007426,0.0007426
28,349.824,1.59117,1.63686,1.83351,0.576,0.48908,0.47813,0.17947,1.89589,1.98117,1.95084,0.0007327,0.0007327,0.0007327
29,361.861,1.59273,1.6155,1.816,0.63516,0.50655,0.52713,0.20667,1.88054,1.81795,1.95841,0.0007228,0.0007228,0.0007228
30,373.917,1.56342,1.66903,1.82085,0.51278,0.45415,0.39016,0.13169,1.95534,1.91775,2.02105,0.0007129,0.0007129,0.0007129
31,385.907,1.54842,1.56036,1.79975,0.56536,0.48035,0.44116,0.17609,1.89576,1.86502,1.93035,0.000703,0.000703,0.000703
32,398.113,1.51976,1.53161,1.72946,0.61316,0.55459,0.54333,0.20236,1.86067,1.67312,1.99604,0.0006931,0.0006931,0.0006931
33,410.164,1.53514,1.54908,1.75308,0.66704,0.49782,0.57725,0.21674,1.81181,1.6844,1.91477,0.0006832,0.0006832,0.0006832
34,422.418,1.55361,1.55351,1.76588,0.59351,0.48472,0.51564,0.17754,1.87088,1.81523,1.94268,0.0006733,0.0006733,0.0006733
35,434.566,1.54505,1.55951,1.77193,0.58577,0.53712,0.52807,0.18454,1.81576,1.78778,1.89991,0.0006634,0.0006634,0.0006634
36,446.272,1.53884,1.52735,1.75687,0.67441,0.49749,0.5627,0.21159,1.80447,1.72116,1.84037,0.0006535,0.0006535,0.0006535
37,458.17,1.5466,1.55856,1.77641,0.50873,0.48035,0.44351,0.18039,1.87154,1.97321,1.9102,0.0006436,0.0006436,0.0006436
38,470.272,1.53848,1.54631,1.78269,0.48519,0.47598,0.48037,0.18624,1.78722,1.88868,1.89121,0.0006337,0.0006337,0.0006337
39,482.366,1.5484,1.49436,1.74893,0.61623,0.55895,0.53311,0.22046,1.74126,1.69184,1.80321,0.0006238,0.0006238,0.0006238
40,494.234,1.51625,1.47527,1.76771,0.65287,0.46725,0.48238,0.18657,1.84018,1.79219,1.90028,0.0006139,0.0006139,0.0006139
41,506.172,1.47719,1.47088,1.75505,0.62914,0.53275,0.54556,0.20916,1.80467,1.69966,1.89768,0.000604,0.000604,0.000604
42,517.982,1.50106,1.48691,1.72564,0.57454,0.49345,0.48254,0.19541,1.73958,1.93039,1.80474,0.0005941,0.0005941,0.0005941
43,530.114,1.4912,1.48938,1.71922,0.71641,0.51092,0.58792,0.23982,1.74056,1.65894,1.83644,0.0005842,0.0005842,0.0005842
44,542.255,1.48757,1.51017,1.71749,0.71113,0.48472,0.54542,0.2348,1.75114,1.71892,1.8365,0.0005743,0.0005743,0.0005743
45,554.248,1.4432,1.47374,1.7112,0.68903,0.44508,0.52519,0.21729,1.80254,1.75713,1.88613,0.0005644,0.0005644,0.0005644
46,566.126,1.48266,1.51459,1.72865,0.65493,0.55022,0.54831,0.2251,1.69316,1.678,1.7718,0.0005545,0.0005545,0.0005545
47,577.87,1.50109,1.48679,1.74637,0.65297,0.54585,0.56216,0.23288,1.75817,1.67849,1.78226,0.0005446,0.0005446,0.0005446
48,589.828,1.49782,1.41121,1.71512,0.62944,0.55459,0.56178,0.23697,1.74203,1.64038,1.81043,0.0005347,0.0005347,0.0005347
